linear_estimate,date
19.96925,16may2013
20.304075,17may2013
20.644405,18may2013
20.990305,19may2013
21.341869,20may2013
21.699186,21may2013
22.06234,22may2013
22.431431,23may2013
22.806534,24may2013
23.187754,25may2013
23.575178,26may2013
23.968904,27may2013
24.36902,28may2013
24.775631,29may2013
25.188829,30may2013
25.608711,31may2013
26.035374,01jun2013
26.468931,02jun2013
26.909485,03jun2013
27.357134,04jun2013
27.811987,05jun2013
28.274139,06jun2013
28.74371,07jun2013
29.220814,08jun2013
29.70554,09jun2013
30.198027,10jun2013
30.698372,11jun2013
31.206694,12jun2013
31.723106,13jun2013
32.247734,14jun2013
32.780689,15jun2013
33.322098,16jun2013
33.872089,17jun2013
34.430779,18jun2013
34.998276,19jun2013
35.574726,20jun2013
36.160244,21jun2013
36.754974,22jun2013
37.359043,23jun2013
37.972557,24jun2013
38.595688,25jun2013
39.228539,26jun2013
39.871281,27jun2013
40.524033,28jun2013
41.186932,29jun2013
41.860119,30jun2013
42.543747,01jul2013
43.237942,02jul2013
43.942867,03jul2013
44.658669,04jul2013
45.38549,05jul2013
46.12347,06jul2013
46.872791,07jul2013
47.63356,08jul2013
48.405972,09jul2013
49.19017,10jul2013
49.98632,11jul2013
50.794582,12jul2013
51.615101,13jul2013
52.448063,14jul2013
53.293613,15jul2013
54.151917,16jul2013
55.02314,17jul2013
55.907463,18jul2013
56.805073,19jul2013
57.716133,20jul2013
58.64077,21jul2013
59.579227,22jul2013
60.531635,23jul2013
61.498211,24jul2013
62.479118,25jul2013
63.474522,26jul2013
64.484612,27jul2013
65.509598,28jul2013
66.549629,29jul2013
67.604919,30jul2013
68.675629,31jul2013
69.761971,01aug2013
70.864143,02aug2013
71.982391,03aug2013
73.116821,04aug2013
74.267639,05aug2013
75.435104,06aug2013
76.619377,07aug2013
77.820648,08aug2013
79.039139,09aug2013
80.275055,10aug2013
81.528587,11aug2013
82.800003,12aug2013
84.089478,13aug2013
85.397118,14aug2013
86.72332,15aug2013
88.068138,16aug2013
89.431892,17aug2013
90.814774,18aug2013
92.216972,19aug2013
93.638718,20aug2013
95.080215,21aug2013
96.541687,22aug2013
98.023384,23aug2013
99.525536,24aug2013
101.04836,25aug2013
102.59203,26aug2013
104.15685,27aug2013
105.74296,28aug2013
107.35067,29aug2013
108.98022,30aug2013
110.63177,31aug2013
112.30556,01sep2013
114.0019,02sep2013
115.72094,03sep2013
117.46294,04sep2013
119.22813,05sep2013
121.01681,06sep2013
122.82915,07sep2013
124.66542,08sep2013
126.52583,09sep2013
128.41069,10sep2013
130.32016,11sep2013
132.25449,12sep2013
134.21393,13sep2013
136.19878,14sep2013
138.20915,15sep2013
140.24553,16sep2013
142.30791,17sep2013
144.39668,18sep2013
146.51199,19sep2013
148.65411,20sep2013
150.82338,21sep2013
153.01999,22sep2013
155.24409,23sep2013
157.49608,24sep2013
159.77609,25sep2013
162.0844,26sep2013
164.42125,27sep2013
166.78697,28sep2013
169.18163,29sep2013
171.60561,30sep2013
174.05916,01oct2013
176.54248,02oct2013
179.05579,03oct2013
181.59941,04oct2013
184.17354,05oct2013
186.77838,06oct2013
189.41428,07oct2013
192.08142,08oct2013
194.77998,09oct2013
197.51024,10oct2013
200.27257,11oct2013
203.06703,12oct2013
205.89392,13oct2013
208.75349,14oct2013
211.64592,15oct2013
214.57146,16oct2013
217.53038,17oct2013
220.52296,18oct2013
223.54935,19oct2013
226.60971,20oct2013
229.70441,21oct2013
232.8335,22oct2013
235.99744,23oct2013
239.19627,24oct2013
242.43025,25oct2013
245.69965,26oct2013
249.00459,27oct2013
252.34543,28oct2013
255.7222,29oct2013
259.13513,30oct2013
262.58459,31oct2013
266.07074,01nov2013
269.59363,02nov2013
273.15353,03nov2013
276.75067,04nov2013
280.38501,05nov2013
284.05719,06nov2013
287.76694,07nov2013
291.5148,08nov2013
295.30078,09nov2013
299.12512,10nov2013
302.98798,11nov2013
306.88931,12nov2013
310.82947,13nov2013
314.80881,14nov2013
318.82709,15nov2013
